ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
8509,Istvn Bsti,M,24.0,174.0,62.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,Gold
8513,Louis Bastien,M,18.0,,,France,FRA,1900 Summer,1900,Summer,Paris,Cycling,Cycling Men's 25 kilometres,Gold
8514,Guillaume Bastille,M,24.0,176.0,70.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
8515,Dsir Bastin,M,20.0,172.0,70.0,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,Gold
8525,Waldemar Romuald Baszanowski,M,29.0,165.0,65.5,Poland,POL,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Lightweight,Gold
8525,Waldemar Romuald Baszanowski,M,33.0,165.0,65.5,Poland,POL,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Lightweight,Gold
8541,"Stephen James ""Steve"" Batchelor",M,27.0,180.0,79.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Men's Hockey,Gold
8559,Vladimir Batez,M,31.0,192.0,85.0,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Men's Volleyball,Gold
8564,Walter Bathe,M,19.0,,,Germany,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 200 metres Breaststroke,Gold
8564,Walter Bathe,M,19.0,,,Germany,GER,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Breaststroke,Gold
8618,Roberto Battaglia,M,43.0,,,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's epee, Team",Gold
8655,Mavlet Alavdinovich Batyrov,M,20.0,160.0,60.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
8655,Mavlet Alavdinovich Batyrov,M,24.0,160.0,60.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
8662,Sabine Christiane Bau,F,19.0,180.0,66.0,West Germany,FRG,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Women's Foil, Team",Gold
8698,Fritz Bauer,M,30.0,170.0,,Germany,GER,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Fours,Gold
8713,Paul Friedrich Peter Bauer,M,35.0,,,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Art Competitions,Art Competitions Mixed Literature,Gold
8716,Rudolf (-Rezs) Bauer,M,21.0,,,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Discus Throw,Gold
8720,Sybil Lorina Bauer,F,20.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Swimming,Swimming Women's 100 metres Backstroke,Gold
8725,Viola Bauer,F,25.0,167.0,61.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
8734,Pierre Baugniet,M,22.0,,,Belgium,BEL,1948 Winter,1948,Winter,Sankt Moritz,Figure Skating,Figure Skating Mixed Pairs,Gold
